session_key,lap_number,timestamp,driver,team,position,interval_gap,strategy_mode,recommended_mode,race_strategy,strategic_reason,tyre_compound,stint_number,stint_lap_count,tyre_wear_pct,tyre_temp_C,tyre_cliff_reached,expected_tyre_life,pit_stop_flag,pit_stop_count,undercut_window,overcut_window,lap_time,delta_lap_time,average_pace_window,momentum_indicator,engine_power_pct,throttle_pct,energy_management_pct,drs_status,speed_kph,fuel_load_kg,air_temperature_C,track_temperature_C,rainfall_mm,humidity_pct,wind_speed_mps,weather_condition,flag_status,incident_category,incident_message,race_pace_score,win_probability,power_anomaly_score,racecraft_anomaly_score,push_signal,degradation_warning,tire_management_skill
RACE_2025_COTA_1,1,2025-10-18T14:00:02.910000,VER,Red Bull Racing,1,0.0,Neutral,Neutral,Aggressive-Two,,Soft,0,1,1.56,65.0,False,18.8,False,0,False,False,90.602,-1.202,91.203,0.0,100.0,100.0,100.0,Inactive,228.6,105.82,34.6,48.1,0.0,61.9,2.0,Clear,Green,None,,99.33,0.797,0.5,0.0,PUSH,False,0.93
RACE_2025_COTA_2,2,2025-10-18T14:01:33.756000,VER,Red Bull Racing,1,0.0,Neutral,Neutral,Aggressive-Two,,Soft,0,2,3.66,89.5,False,17.5,False,0,False,False,89.174,-1.428,90.527,0.0,100.0,100.0,100.0,Inactive,265.3,104.11,33.6,47.0,0.0,69.9,4.2,Clear,Green,None,,101.74,0.7829,0.5,0.0,PUSH,False,0.93
RACE_2025_COTA_3,3,2025-10-18T14:03:09.372000,VER,Red Bull Racing,1,0.0,Neutral,Neutral,Aggressive-Two,,Soft,0,3,6.42,90.6,False,16.2,False,0,False,False,88.058,-1.116,89.909,0.0,100.0,95.85,100.0,Active,255.8,102.43,33.4,46.2,0.0,69.8,3.9,Clear,Green,None,,103.23,0.7643,0.5,0.0,PUSH,False,0.93
RACE_2025_COTA_4,4,2025-10-18T14:04:42.055000,VER,Red Bull Racing,1,0.0,Neutral,Neutral,Aggressive-Two,,Soft,0,4,9.64,85.2,False,14.8,False,0,False,False,88.716,0.658,89.671,0.0,100.0,100.0,100.0,Active,241.9,100.75,28.9,41.4,0.0,72.2,7.4,Clear,Green,None,,100.65,0.7427,0.5,0.526,MAINTAIN,False,0.93
RACE_2025_COTA_5,5,2025-10-18T14:06:15.039000,VER,Red Bull Racing,1,0.0,Neutral,Neutral,Aggressive-Two,,Soft,0,5,14.12,89.5,False,13.2,False,0,False,False,89.274,0.559,89.165,-0.5059,100.0,94.77,100.0,Active,245.5,99.02,30.2,45.7,0.0,64.6,8.1,Clear,Green,None,,97.86,0.7125,0.5,0.512,MAINTAIN,False,0.93
RACE_2025_COTA_6,6,2025-10-18T14:07:46.430000,VER,Red Bull Racing,1,0.0,Neutral,Neutral,Aggressive-Two,,Soft,0,6,19.92,88.2,False,11.5,False,0,False,False,89.35,0.076,88.914,-0.2504,97.79,95.58,100.0,Active,237.0,97.13,30.3,48.2,0.0,70.7,8.0,Clear,Green,None,,95.66,0.6735,0.279,0.101,MAINTAIN,False,0.93
RACE_2025_COTA_7,7,2025-10-18T14:09:19.633000,VER,Red Bull Racing,1,0.0,Neutral,Neutral,Aggressive-Two,,Soft,0,7,26.4,89.7,False,9.7,False,0,False,False,89.34,-0.01,88.948,0.0332,97.79,95.27,100.0,Active,215.2,95.44,33.1,45.3,0.0,59.9,3.2,Clear,Green,None,,93.41,0.6299,0.279,0.022,MAINTAIN,False,0.93
RACE_2025_COTA_8,8,2025-10-18T14:10:54.805000,VER,Red Bull Racing,1,0.0,Aggressive,Neutral,Aggressive-Two,,Soft,0,8,35.56,92.2,False,7.6,False,0,False,False,89.518,0.178,89.24,0.2921,100.0,97.18,96.02,Active,204.3,93.55,29.5,42.3,0.0,65.2,6.0,Clear,Green,None,,89.42,0.5682,0.5,0.5,MAINTAIN,False,0.93
RACE_2025_COTA_9,9,2025-10-18T14:12:25.714000,VER,Red Bull Racing,1,0.0,Aggressive,Neutral,Aggressive-Two,,Soft,0,9,47.39,93.6,False,5.1,False,0,False,False,90.081,0.563,89.513,0.2731,97.09,96.56,90.45,Active,211.7,91.79,33.2,46.7,0.0,65.6,3.6,Clear,Green,None,,83.48,0.4886,0.209,1.578,MAINTAIN,False,0.93
RACE_2025_COTA_10,10,2025-10-18T14:13:59.457000,VER,Red Bull Racing,1,0.0,Aggressive,Neutral,Aggressive-Two,,Soft,0,10,60.58,90.1,False,2.4,False,0,False,False,91.878,1.797,90.034,0.5208,94.01,93.97,85.98,Active,202.6,89.94,32.3,45.6,0.0,62.5,8.4,Clear,Green,None,,74.46,0.3998,0.099,2.283,MAINTAIN,False,0.93
RACE_2025_COTA_11,11,2025-10-18T14:15:32.711000,VER,Red Bull Racing,1,0.0,Aggressive,Defensive,Aggressive-Two,,Soft,0,11,75.41,84.5,False,0.0,False,0,False,False,91.53,-0.348,90.469,0.4358,88.33,91.14,80.8,Active,177.0,88.07,29.5,45.5,0.0,61.2,6.9,Clear,Green,None,,69.52,0.3001,0.667,0.4,CONSERVE,False,0.93
RACE_2025_COTA_12,12,2025-10-18T14:17:04.092000,VER,Red Bull Racing,3,3.854,Aggressive,Neutral,Aggressive-Two,Emergency stop - tire degradation,Soft,1,0,0.0,50.0,False,0.0,True,1,False,False,114.378,22.848,95.477,5.0075,100.0,96.3,75.12,Inactive,256.4,86.32,34.6,51.0,0.0,61.4,6.8,Clear,Green,None,,45.08,0.646,0.5,3.494,MAINTAIN,False,0.93
RACE_2025_COTA_13,13,2025-10-18T14:18:38.036000,VER,Red Bull Racing,3,3.785,Aggressive,Neutral,Aggressive-Two,,Soft,1,1,1.54,65.0,False,18.8,False,1,False,False,89.912,-24.466,95.556,0.0788,100.0,100.0,71.25,Inactive,235.2,84.57,34.5,49.4,0.0,65.3,3.3,Clear,Green,None,,97.98,0.6377,0.5,1.955,PUSH,False,0.93
RACE_2025_COTA_14,14,2025-10-18T14:20:09.027000,VER,Red Bull Racing,3,5.308,Aggressive,Aggressive,Aggressive-Two,,Soft,1,2,3.81,89.9,False,17.5,False,1,False,False,87.726,-2.186,95.085,-0.4711,100.0,100.0,66.45,Inactive,245.1,82.68,33.4,49.7,0.0,65.4,1.9,Clear,Green,None,,101.52,0.6255,0.5,0.173,PUSH,False,0.93
RACE_2025_COTA_15,15,2025-10-18T14:21:42.212000,VER,Red Bull Racing,3,6.281,Aggressive,Aggressive,Aggressive-Two,,Soft,1,3,6.89,88.1,False,16.1,False,1,False,False,87.193,-0.532,94.148,-0.937,100.0,97.89,61.16,Inactive,248.1,80.97,32.6,48.2,0.0,72.3,6.3,Clear,Green,None,,101.08,0.6089,0.5,0.042,PUSH,False,0.93
RACE_2025_COTA_16,16,2025-10-18T14:23:18.720000,VER,Red Bull Racing,3,6.425,Aggressive,Aggressive,Aggressive-Two,,Soft,1,4,10.97,91.5,False,14.6,False,1,False,False,88.663,1.469,93.574,-0.5734,100.0,99.53,55.94,Inactive,240.6,79.2,33.1,47.9,0.0,65.4,2.9,Clear,Green,None,,95.89,0.5869,0.5,0.201,MAINTAIN,False,0.93
RACE_2025_COTA_17,17,2025-10-18T14:24:51.973000,VER,Red Bull Racing,3,3.524,Aggressive,Neutral,Aggressive-Two,,Soft,1,5,16.13,91.5,False,13.0,False,1,False,False,88.464,-0.199,88.392,-5.1828,100.0,96.87,52.32,Inactive,234.2,77.42,33.0,47.3,0.0,66.6,2.1,Clear,Green,None,,94.17,0.5592,0.5,0.16,MAINTAIN,False,0.93
RACE_2025_COTA_18,18,2025-10-18T14:26:24.252000,VER,Red Bull Racing,3,3.64,Aggressive,Neutral,Aggressive-Two,,Soft,1,6,22.15,88.9,False,11.2,False,1,False,False,88.741,0.277,88.157,-0.2342,100.0,96.13,47.97,Inactive,223.1,75.67,29.6,45.0,0.0,60.1,5.5,Clear,Green,None,,91.01,0.5268,0.5,0.361,MAINTAIN,False,0.93
RACE_2025_COTA_19,19,2025-10-18T14:27:55.532000,VER,Red Bull Racing,3,5.487,Aggressive,Aggressive,Aggressive-Two,,Soft,1,7,29.45,90.0,False,9.3,False,1,False,False,88.905,0.164,88.393,0.2359,100.0,100.0,43.6,Inactive,226.9,73.8,31.8,45.3,0.0,69.4,6.8,Clear,Green,None,,87.66,0.4875,0.5,0.242,MAINTAIN,False,0.93
RACE_2025_COTA_20,20,2025-10-18T14:29:28.650000,VER,Red Bull Racing,3,4.836,Aggressive,Aggressive,Aggressive-Two,,Soft,1,8,38.09,84.2,False,7.2,False,1,False,False,89.206,0.301,88.796,0.4025,99.41,100.0,39.09,Inactive,194.7,72.14,30.7,45.5,0.0,69.9,3.5,Clear,Green,None,,83.53,0.441,0.441,0.78,MAINTAIN,False,0.93
RACE_2025_COTA_21,21,2025-10-18T14:31:03.476000,VER,Red Bull Racing,3,7.633,Aggressive,Aggressive,Aggressive-Two,,Soft,1,9,47.88,89.7,False,5.0,False,1,False,False,88.659,-0.547,88.795,-0.0008,95.4,93.86,34.51,Inactive,198.9,70.29,29.7,44.7,0.0,60.9,2.2,Clear,Green,None,,80.84,0.3883,0.04,1.159,PUSH,False,0.93
RACE_2025_COTA_22,22,2025-10-18T14:32:36.175000,VER,Red Bull Racing,3,7.514,Aggressive,Neutral,Aggressive-Two,,Soft,1,10,60.96,89.3,False,2.4,False,1,False,False,90.46,1.802,89.194,0.3993,90.36,83.56,31.2,Inactive,186.7,68.4,32.7,50.7,0.0,61.3,4.8,Clear,Green,None,,71.97,0.3178,0.464,2.111,MAINTAIN,False,0.93
RACE_2025_COTA_23,23,2025-10-18T14:34:07.008000,VER,Red Bull Racing,3,9.893,Aggressive,Defensive,Aggressive-Two,,Soft,1,11,74.5,82.7,False,0.0,False,1,False,False,89.93,-0.53,89.432,0.2377,86.05,88.58,25.47,Inactive,174.4,66.55,34.5,47.3,0.0,61.8,6.5,Clear,Green,None,,67.83,0.2449,0.895,0.561,MAINTAIN,False,0.93
RACE_2025_COTA_24,24,2025-10-18T14:35:39.950000,VER,Red Bull Racing,4,7.656,Aggressive,Neutral,Aggressive-Two,Emergency stop - tire degradation,Medium,2,0,0.0,50.0,False,0.0,True,2,False,False,114.789,24.859,94.609,5.1767,100.0,100.0,21.83,Inactive,249.2,64.71,35.0,52.5,0.0,66.5,4.4,Clear,Green,None,,38.85,0.5652,0.5,3.509,MAINTAIN,False,0.93
RACE_2025_COTA_25,25,2025-10-18T14:37:12.803000,VER,Red Bull Racing,4,7.064,Aggressive,Neutral,Aggressive-Two,,Medium,2,1,1.29,65.0,False,30.8,False,2,False,False,89.662,-25.127,94.7,0.0913,100.0,100.0,16.61,Inactive,233.1,63.0,30.6,48.0,0.0,65.6,1.9,Clear,Green,None,,93.15,0.5592,0.5,1.899,PUSH,False,0.93
RACE_2025_COTA_26,26,2025-10-18T14:38:48.767000,VER,Red Bull Racing,4,8.447,Aggressive,Neutral,Aggressive-Two,,Medium,2,2,2.99,80.0,False,29.6,False,2,False,False,88.557,-1.105,94.68,-0.0204,100.0,100.0,10.81,Inactive,235.2,61.3,31.9,44.1,0.0,71.7,7.1,Clear,Green,None,,94.41,0.5512,0.5,0.085,PUSH,False,0.93
